id,bairro,cep,cidade,cpf,data_nasc,email,endereco,estado,idade,mae,nome,numero,signo,tipo_sanguineo,
23,Lourdes,36071-020,Juiz de Fora,489.611.821-96,01/01/1996,cauaisaaccastro_@heindmec.com.br,Rua Flavia Rios Miranda,MG,23,Giovana Antonella Larissa ,Caua Isaac Castro,833,Capricornio,A+,
24,Parque Iracema,75063-120,Anapolis,281.229.310-14,08/11/1947,gabrielcauamarcosviniciuscaldeira__gabrielcauamarcosviniciuscaldeira@editorazap.com.br,Avenida dos Palmares,GO,72,Mariana Mirella Natalia ,Gabriel Caua Marcos Vinicius Caldeira,149,Escorpiao,AB-,
25,Setor Residencial Granville I,78731-260,Rondonopolis,492.264.809-74,18/04/1969,daniloseverinodacruz..daniloseverinodacruz@ouplook.com,Rua Circular-2,MT,50,Rita Ayla Sara ,Danilo Severino da Cruz,724,Aries,B+,
26,Vila Cearense,77818-355,Araguaina,816.876.443-90,27/03/1972,ssamuelnoahlopes@diclace.com.br,Rua Aparecida,TO,47,Louise Joana ,Samuel Noah Lopes,325,Aries,O-,
27,Pinheiros,05403-900,Sao Paulo,327.630.596-86,10/10/1984,jjuanraimundoosvaldocardoso@julianacaran.com.br,Avenida Doutor Eneas Carvalho de Aguiar 255,SP,35,Heloisa Luzia ,Juan Raimundo Osvaldo Cardoso,605,Libra,B+,
28,Compensa,69036-075,Manaus,181.410.022-95,05/01/1973,leandrocesarjorgedrumond_@murosterrae.com.br,Beco Sao Pedro II,AM,46,Jessica Jaqueline Flavia ,Leandro Cesar Jorge Drumond,920,Capricornio,O-,
29,Periperi,40720-479,Salvador,843.458.724-64,12/09/1996,caiojuliokauelima-77@hotmail.de,3a Travessa Osvaldo Neves,BA,23,Lara Sabrina Giovanna ,Caio Julio Kaue Lima,929,Virgem,AB+,
30,Jardim Renascenca,65075-047,Sao Luis,134.836.403-39,21/06/1963,guilhermerafaelkevinmonteiro..guilhermerafaelkevinmonteiro@pq.cnpq.br,Rua Professora Laura Rosa,MA,56,Leticia Isabelly Stefany ,Guilherme Rafael Kevin Monteiro,461,Cancer,A-,
31,Tiradentes,79041-061,Campo Grande,557.744.519-17,09/02/1947,nicolasedsonaraujo__nicolasedsonaraujo@digen.com.br,Rua Jacarepagua,MS,72,Gabriela Sueli ,Nicolas Edson Araujo,213,Aquario,O-,
32,Ceilandia Sul (Ceilandia),72236-503,Brasilia,254.321.926-91,25/05/1988,cesarnelsondanielbrito-86@embraer.com,Quadra EQNP 30/34 Bloco C,DF,31,Rita Rafaela Lara ,Cesar Nelson Daniel Brito,313,Gemeos,AB+,
33,Ceilandia Sul (Ceilandia),72233-008,Brasilia,806.443.633-80,16/02/1941,rodrigoerickrobertofreitas__rodrigoerickrobertofreitas@fransystems.com.br,Quadra QNP 20 Conjunto H,DF,78,Nicole Aparecida ,Rodrigo Erick Roberto Freitas,255,Aquario,B+,
34,Santa Cruz,29908-350,Linhares,984.830.666-88,09/07/1980,enricoarthurkauedacunha__enricoarthurkauedacunha@jcffactoring.com.br,Rua Argeo de Carvalho,ES,39,Antonella Yasmin ,Enrico Arthur Kaue da Cunha,610,Cancer,O+,
35,Lirio do Vale,69038-276,Manaus,097.294.987-92,24/12/1958,mariokevinbaptista..mariokevinbaptista@holtmail.com,Rua 6,AM,61,Luzia Sara Rafaela ,Mario Kevin Baptista,880,Capricornio,AB+,
36,Abial,69550-455,Tefe,949.278.899-39,10/03/2001,calebaugustoigorbarbosa-94@enable.com.br,Travessa Porto Alegre,AM,18,Benedita Nair Tatiane ,Caleb Augusto Igor Barbosa,745,Peixes,A-,
37,Sao Jorge,57044-152,Maceio,657.324.647-00,24/06/1991,joseiandaconceicao_@patrezao.com.br,Rua Lirio,AL,28,Isabelly Maria Lavinia ,Jose Ian da Conceicao,440,Cancer,O+,
38,Vila Isabel,72874-535,Valparaiso de Goias,249.678.124-57,08/09/1943,fernandocesarfigueiredo_@hotmailo.com,Rua 23,GO,76,Bruna Esther Evelyn ,Fernando Cesar Figueiredo,253,Virgem,AB+,
39,Capao do Pequi,78134-238,Varzea Grande,295.718.231-98,08/04/1966,josecauavicentearagao..josecauavicentearagao@citadini.imb.br,Rua Sao Sebastiao,MT,53,Luzia Luciana ,Jose Caua Vicente Aragao,945,Aries,O-,
40,Brehmer,89161-210,Rio do Sul,536.503.166-09,24/07/1987,ttheosebastiaodarosa@nipnet.com.br,Rua Tenente Neves,SC,32,Isadora Lucia Joana ,Theo Sebastiao da Rosa,217,Leao,A-,
41,Alpes de Caieiras,07727-500,Caieiras,735.197.681-35,17/07/1955,brenobrunopinto__brenobrunopinto@vieiradarocha.adv.br,Rua Belem,SP,64,Jessica Tereza ,Breno Bruno Pinto,900,Cancer,AB+,
42,Guagiru,61629-185,Caucaia,618.977.950-68,22/11/1940,kevinmarcosviniciusmendes_@doublesp.com.br,Rua Ina Farias,CE,79,Manuela Tania ,Kevin Marcos Vinicius Mendes,510,Sagitario,A+,
43,Abolicao,59614-535,Mossoro,818.222.952-97,04/08/1985,ggeraldoisaacmoura@recatec.com.br,Rua Antonio Victor de Melo,RN,34,Bruna Antonia ,Geraldo Isaac Moura,595,Leao,AB-,
44,Setor Negrao de Lima,74650-170,Goiania,711.467.358-20,10/12/1976,marcosviniciusmanuelarthurdacosta__marcosviniciusmanuelarthurdacosta@gmail.com,Rua Lauro Jacques,GO,43,Allana Fatima Gabrielly ,Marcos Vinicius Manuel Arthur da Costa,883,Sagitario,AB-,
45,Parque Jacinta,64035-030,Teresina,823.068.573-85,16/07/1977,vicenteryanbryanferreira__vicenteryanbryanferreira@genesyslab.com,Rua Major Ulisses Pereira da Silva,PI,42,Cecilia Jennifer Isabel ,Vicente Ryan Bryan Ferreira,478,Cancer,A+,
46,Chacaras Reunidas Santa Terezinha,32183-150,Contagem,040.568.439-88,06/08/1953,oliverricardodavicaldeira__oliverricardodavicaldeira@monsanto.com,Rua Chopin,MG,66,Eloa Sara ,Oliver Ricardo Davi Caldeira,623,Leao,B+,
47,Barra do Sahy,29198-161,Aracruz,461.427.999-69,04/09/1947,claudionathanmoura..claudionathanmoura@agenciadbd.com,Rua Estevao Ribeiro de Mattos,ES,72,Sarah Valentina Aline ,Claudio Nathan Moura,969,Virgem,AB+,
48,Muchila,44006-454,Feira de Santana,423.398.060-54,14/12/1945,thomascauegabrielsilveira__thomascauegabrielsilveira@runup.com.br,Caminho E - XVI,BA,74,Daniela Malu ,Thomas Caue Gabriel Silveira,184,Sagitario,AB-,
49,Granja Lisboa,60540-478,Fortaleza,974.659.231-90,22/02/1999,juliooliveroliveira..juliooliveroliveira@aulicinobastos.com.br,Rua Tenente Francisco Paiva,CE,20,Stefany Catarina Tatiane ,Julio Oliver Oliveira,879,Peixes,A+,
50,Novo Horizonte,64080-190,Teresina,629.574.715-90,14/01/1950,augustodiogonovaes-82@teadit.com.br,Avenida Doralice Evangelista de Sousa,PI,69,Antonia Milena Ayla ,Augusto Diogo Novaes,560,Capricornio,A+,
51,Chacara Itapiraco,65054-888,Sao Luis,535.871.894-04,09/04/1962,lorenzogaelaparicio-70@odebrecht.com,Travessa Oito,MA,57,Silvana Yasmin ,Lorenzo Gael Aparicio,246,Aries,AB-,
52,Messejana,60842-350,Fortaleza,874.269.918-57,08/11/1952,brenokevincauesilva..brenokevincauesilva@yoma.com.br,Rua Cearim,CE,67,Caroline Rita ,Breno Kevin Caue Silva,552,Escorpiao,B-,
53,Pedro Roseno,69917-662,Rio Branco,840.760.458-58,06/10/1980,matheusluanalmeida__matheusluanalmeida@fanger.com.br,Rua Projetada 225,AC,39,Barbara Eliane Raimunda ,Matheus Luan Almeida,980,Libra,A+,
54,Centro,97541-440,Alegrete,885.968.346-72,01/02/1994,renatocarloscesarmoura_@life.com,Rua Presidente Dutra,RS,25,Emilly Mariana Sara ,Renato Carlos Cesar Moura,607,Aquario,A-,
55,Agenor de Carvalho,76820-270,Porto Velho,341.311.535-99,22/04/1971,davilevimoura_@planicoop.com.br,Rua Capitao Natanael Aguiar,RO,48,Isabela Sebastiana Silvana ,Davi Levi Moura,631,Touro,AB+,
56,Jardim dos Estados,78158-331,Varzea Grande,233.893.997-20,26/10/1959,mmarcelothomasteixeira@isbt.com.br,Rua Castanheira,MT,60,Marli Rosangela Cecilia ,Marcelo Thomas Teixeira,237,Escorpiao,AB+,
57,Ceilandia Sul (Ceilandia),72220-555,Brasilia,748.193.267-08,15/03/1977,ffabiovitorcardoso@ymail.com,Quadra EQNN 18/20 Bloco E,DF,42,Aparecida Isadora ,Fabio Vitor Cardoso,138,Peixes,A-,
58,Primeiro de Maio,88353-537,Brusque,442.694.244-60,20/07/1951,brenomarcosjoaopires-83@zulix.com.br,Rua PM - 018,SC,68,Luana Olivia Mariana ,Breno Marcos Joao Pires,186,Cancer,A+,
59,Boa Vista,55292-640,Garanhuns,563.337.623-42,14/07/1991,rricardohenriquerezende@valeparaibano.com.br,Rua Sao Miguel,PE,28,Aparecida Jessica Kamilly ,Ricardo Henrique Rezende,343,Cancer,O+,
60,Nova Estacao,69918-388,Rio Branco,466.803.635-86,07/09/1988,diogothomasgaelbarbosa__diogothomasgaelbarbosa@nelsoncosta.com.br,Rua Otavio Rola,AC,31,Andrea Cecilia ,Diogo Thomas Gael Barbosa,784,Virgem,A+,
61,Cidade Operaria,65058-181,Sao Luis,893.426.079-34,27/07/1940,daviantoniomendes-74@ativacofres.com.br,Avenida 203,MA,79,Valentina Andreia ,Davi Antonio Mendes,629,Leao,B+,
62,Ceilandia Norte (Ceilandia),72210-122,Brasilia,728.882.048-35,13/02/1967,thalesluisbarbosa..thalesluisbarbosa@solutionimoveis.com.br,Quadra QNM 12 Via NM 12B,DF,52,Luzia Debora ,Thales Luis Barbosa,166,Aquario,A-,
63,Guarani,45002-048,Vitoria da Conquista,869.696.945-69,07/11/1945,alexandrebrunomarcioaraujo__alexandrebrunomarcioaraujo@etirama.com.br,1a Travessa da Barragem,BA,74,Isabelly Kamilly ,Alexandre Bruno Marcio Araujo,526,Escorpiao,B-,
64,Azambuja,88353-509,Brusque,872.870.813-00,05/03/1992,heitorenzoarthurpinto-79@rj.net,Rua AZ - 027,SC,27,Rita Maya ,Heitor Enzo Arthur Pinto,146,Peixes,B-,
65,Setor Uniao V,77413-785,Gurupi,145.891.596-43,21/05/1962,raimundotomasdaconceicao_@belaggiovini.com.br,Rua S,TO,57,Ayla Claudia ,Raimundo Tomas da Conceicao,151,Gemeos,AB-,
66,Centro,59600-200,Mossoro,631.466.800-09,17/10/1969,ricardoigorbarros_@estruturalbr.com.br,Rua Coronel Gurgel,RN,50,Gabrielly Melissa Kamilly ,Ricardo Igor Barros,782,Libra,A-,
67,Jardim Paranapunga,79645-200,Tres Lagoas,159.568.299-66,24/05/1957,luccafranciscogaeloliveira-86@directnet.com,Rua Arapuana,MS,62,Melissa Louise Antonia ,Lucca Francisco Gael Oliveira,232,Gemeos,AB+,
68,Gercino Coelho,56306-270,Petrolina,875.553.057-55,13/03/1961,guilhermeseverinonathanbarbosa-81@dmarquivo.com.br,Rua Pio XII,PE,58,Valentina Tereza Benedita ,Guilherme Severino Nathan Barbosa,593,Peixes,AB-,
69,Canto da Varzea,64600-146,Picos,055.302.287-39,04/01/1948,leviheitordacosta-89@otimatransportes.com,Avenida Nossa Senhora de Fatima,PI,71,Luna Sonia Sebastiana ,Levi Heitor da Costa,695,Capricornio,AB-,
70,Ipioca,57039-876,Maceio,880.960.378-89,04/07/1973,llorenzoluccacaueteixeira@parker.com,Rua Sao Lucas,AL,46,Sophia Bruna Manuela ,Lorenzo Lucca Caue Teixeira,477,Cancer,AB-,
71,Cidade Nova,69095-503,Manaus,071.707.642-37,06/06/1949,yyurigaelosvaldogoncalves@monsanto.com,Rua Ibiraiaras,AM,70,Pietra Tatiane Rayssa ,Yuri Gael Osvaldo Goncalves,318,Gemeos,O-,
72,Centro (Taquaralto),77064-590,Palmas,895.160.103-00,10/07/1945,otaviobernardodamata-99@fredericodiniz.com,Rua P 3,TO,74,Catarina Cristiane ,Otavio Bernardo da Mata,798,Cancer,B+,
73,Tabuleiro do Martins,57061-310,Maceio,248.115.138-00,27/11/1939,erickbryanjulioaragao-80@inglesasset.com.br,Rua Manoel Luiz Santana,AL,80,Regina Alice Ana ,Erick Bryan Julio Aragao,673,Sagitario,AB+,
74,Plano Diretor Sul,77015-466,Palmas,514.481.204-03,08/06/1959,bbentokauegaeldamota@apso.org.br,Quadra 307 Sul Avenida LO 5,TO,60,Rosa Rafaela Fabiana ,Bento Kaue Gael da Mota,122,Gemeos,A-,
75,Ouro Preto,57301-100,Arapiraca,885.720.350-60,19/10/1962,rrobertodanielgalvao@nacirembalagens.com.br,Rua Professor Domingos Correia,AL,57,Juliana Isabelly ,Roberto Daniel Galvao,509,Libra,B+,
76,Balneario de Carapebus,29164-869,Serra,571.307.021-25,05/01/1984,marcelobeneditoporto_@fk1.com.br,Rua da Macieira,ES,35,Pietra Sebastiana Luana ,Marcelo Benedito Porto,861,Capricornio,AB-,
77,Vila Sao Manoel,18270-850,Tatui,506.359.495-63,27/11/1973,ppietrodiegocarlosfernandes@arecocomercial.com.br,Praca Anselmo Pilon,SP,46,Elza Gabrielly ,Pietro Diego Carlos Fernandes,285,Sagitario,A+,
78,Plano Diretor Norte,77006-712,Palmas,821.284.216-91,20/09/1955,eerickeliasryanfernandes@prudential.com,Quadra 602 Norte Rua 8 B,TO,64,Raimunda Vitoria Lucia ,Erick Elias Ryan Fernandes,987,Virgem,AB-,
79,Setor de Habitacoes Individuais Sul,71635-162,Brasilia,846.921.875-14,09/10/1999,edsonsebastiaonascimento..edsonsebastiaonascimento@brasfrutmanaus.com.br,Quadra SHIS QI 13 Bloco B,DF,20,Raquel Luiza Aurora ,Edson Sebastiao Nascimento,793,Libra,O-,
80,Sandra Cavalcante,58410-690,Campina Grande,908.891.242-48,07/02/1998,diogokaiquegalvao-88@indaseg.com.br,Rua Matias Vasconcelos da Costa,PB,21,Esther Lorena ,Diogo Kaique Galvao,378,Aquario,AB-,
81,Scharlau,93120-280,Sao Leopoldo,535.263.581-33,23/03/1983,murilopedrobarros-84@alway.com.br,Rua Lobo da Costa,RS,36,Rayssa Alessandra ,Murilo Pedro Barros,341,Aries,O-,
82,Jardim Sao Severino,58306-280,Bayeux,568.278.966-09,03/05/1954,eliasarthurdasneves__eliasarthurdasneves@galvao.com,Rua Jose Alves Pontes,PB,65,Mariana Sara Jaqueline ,Elias Arthur das Neves,417,Touro,AB+,
83,Alvorada,69042-320,Manaus,834.995.261-07,17/12/1988,ccarlosryaniagofigueiredo@shimu.com.br,Rua Virgilio Ferreira,AM,31,Isabel Jessica Sandra ,Carlos Ryan Iago Figueiredo,678,Sagitario,B-,
84,Lamenha Grande,83507-170,Almirante Tamandare,998.468.193-90,11/08/1969,bbrenopauloalves@tecnew.net,Rua Emiliano Perneta,PR,50,Eduarda Sophia Amanda ,Breno Paulo Alves,970,Leao,AB+,
85,Setor Bela Vista,73808-875,Formosa,493.560.527-86,10/02/1967,vicenteluizgeraldorezende..vicenteluizgeraldorezende@agencia10clic.com.br,Rua 6A,GO,52,Ester Eliane ,Vicente Luiz Geraldo Rezende,126,Aquario,AB-,
86,Loteamento Maracana,77825-570,Araguaina,422.944.956-91,11/01/1955,oosvaldomiguelraulassis@hotmailo.com,Avenida Rouxinol,TO,64,Jennifer Bianca ,Osvaldo Miguel Raul Assis,357,Capricornio,B+,
87,Gameleira,55153-541,Belo Jardim,049.129.085-33,07/03/1977,hheitoriagoalexandremoreira@afsn.com.br,Rua Projetada Um,PE,42,Olivia Elaine ,Heitor Iago Alexandre Moreira,259,Peixes,AB+,
88,Parque Sao Jorge,78735-820,Rondonopolis,455.314.739-40,21/07/1939,pedrohenriquecalebeyurifigueiredo_@procivil.com.br,Rua Sao Bento,MT,80,Daniela Fernanda ,Pedro Henrique Calebe Yuri Figueiredo,833,Cancer,B-,
89,Jardim Shangri-La,78070-180,Cuiaba,919.624.227-20,16/02/2001,isaacluizaparicio_@ibest.com.br,Rua Quioto,MT,18,Stefany Eliane ,Isaac Luiz Aparicio,107,Aquario,A-,
90,Potengi,59120-550,Natal,197.863.690-33,09/06/1996,bbrenodanilosilva@bluespropaganda.com,Rua Castanhola,RN,23,Eloa Fatima Tania ,Breno Danilo Silva,467,Gemeos,O-,
91,Ponta Grossa,91780-791,Porto Alegre,853.220.078-81,04/12/1975,ffernandomariosales@reconciliare.com.br,Rua dos Ciprestes,RS,44,Silvana Analu Lara ,Fernando Mario Sales,723,Sagitario,A-,
92,Vicente Pinzon,60182-250,Fortaleza,510.498.890-29,25/12/1958,ppedrohenriquediegofernandes@uzgames.com,Avenida Clovis Matos,CE,61,Carolina Vitoria ,Pedro Henrique Diego Fernandes,275,Capricornio,A-,
93,Nanuque,45989-440,Teixeira de Freitas,621.824.822-45,21/06/1966,oliverbeniciosergioaparicio..oliverbeniciosergioaparicio@gigaonline.com.br,Rua Barbacena,BA,53,Alana Valentina Antonia ,Oliver Benicio Sergio Aparicio,376,Cancer,O-,
94,Copacabana,22011-010,Rio de Janeiro,805.964.609-53,05/03/1987,cesarfilipepeixoto__cesarfilipepeixoto@unimedsjc.com.br,Avenida Princesa Isabel,RJ,32,Camila Sarah ,Cesar Filipe Peixoto,989,Peixes,A-,
95,Sao Vicente,94155-496,Gravatai,658.224.088-93,05/01/1979,matheusjoaoiagoassuncao_@supergasbras.com.br,Rua Manaca,RS,40,Sueli Tereza ,Matheus Joao Iago Assuncao,140,Capricornio,B+,
96,Plano Diretor Sul,77016-372,Palmas,236.305.262-50,22/04/1956,noahcalebpietrodasneves-71@sinalmanaus.com.br,Quadra 603 Sul Alameda 13,TO,63,Larissa Milena Catarina ,Noah Caleb Pietro das Neves,591,Touro,AB-,
97,Zona de Expansao (Aruana),49001-183,Aracaju,640.234.882-16,02/01/1945,nicolashenrydacosta__nicolashenrydacosta@hydropowermc.com.br,Rua Oito,SE,74,Sophie Isabelly Maite ,Nicolas Henry da Costa,699,Capricornio,O+,
98,COHAB-I,55158-430,Belo Jardim,896.785.694-69,20/10/1992,kaiqueheitornascimento-90@meteorus.com.br,Rua Graciliano Ramos,PE,27,Silvana Cristiane Rosa ,Kaique Heitor Nascimento,845,Libra,O-,
99,Setor Aeroporto,72801-090,Luziania,537.674.050-16,11/10/2000,kauefranciscobernardes_@emcinfo.com.br,Terminal Rodoviario,GO,19,Alice Nair Rita ,Kaue Francisco Bernardes,212,Libra,AB-,
100,Centro,76879-970,Bom Futuro,055.033.142-55,25/07/1998,marcosyagoluccaaragao..marcosyagoluccaaragao@vanguarda.tv,Ramal 421,RO,21,Clarice Bruna ,Marcos Yago Lucca Aragao,798,Leao,AB-,
101,Flores,69058-796,Manaus,311.265.388-25,20/05/1952,claudiomuriloaugustodarosa..claudiomuriloaugustodarosa@hotelruby.com.br,Rua Professora Rita M. de Lima,AM,67,Patricia Jennifer ,Claudio Murilo Augusto da Rosa,832,Touro,AB+,
102,Santo Antonio,69550-254,Tefe,617.496.046-39,26/04/1961,bbentoluanguilhermemonteiro@policiamilitar.sp.gov.br,Travessa Jose Bonifacio,AM,58,Sophia Louise ,Bento Luan Guilherme Monteiro,964,Touro,AB-,
103,Santa Cruz,64028-780,Teresina,710.692.544-60,08/01/1979,gustavoiagolevigalvao-86@unifesp.br,Rua Quatro,PI,40,Barbara Yasmin ,Gustavo Iago Levi Galvao,455,Capricornio,O+,
104,Centro America,79310-141,Corumba,895.258.369-83,14/08/1984,eduardonelsonmelo-97@lojabichopapao.com.br,Rua Totico de Medeiros,MS,35,Cecilia Sophie ,Eduardo Nelson Melo,884,Leao,A-,
105,Sao Benedito,29940-015,Sao Mateus,965.187.557-76,25/07/1955,pietroguilhermemoreira..pietroguilhermemoreira@taclog.com.br,Rua Santa Efigenia,ES,64,Teresinha Vera Elisa ,Pietro Guilherme Moreira,387,Leao,B-,
106,Distrito Industrial Governador Aquilino Mota Duarte,69315-218,Boa Vista,849.775.532-41,27/07/1976,filipefabiocarvalho..filipefabiocarvalho@zoomfoccus.com.br,Rua Parque Industrial,RR,43,Luciana Laura Juliana ,Filipe Fabio Carvalho,465,Leao,O+,
107,Centro,65015-463,Sao Luis,834.283.152-35,06/07/1963,anthonymarcelorenanlima_@dpi.indl.com.br,Travessa Basilio de Sa,MA,56,Louise Sarah Tereza ,Anthony Marcelo Renan Lima,144,Cancer,AB+,
108,Jaguarema,65068-357,Sao Luis,671.117.241-86,18/10/1969,diegodanielbaptista__diegodanielbaptista@oi.com.br,Rua Vinte e Dois,MA,50,Sophia Rafaela Silvana ,Diego Daniel Baptista,849,Libra,A+,
109,Umarizal,66050-025,Belem,245.770.855-93,11/07/1969,robertoenricoluandacosta__robertoenricoluandacosta@bzness.com.br,Alameda Nunes,PA,50,Liz Nicole ,Roberto Enrico Luan da Costa,816,Cancer,O+,
110,Conjunto Esperanca,69915-126,Rio Branco,673.573.047-01,21/05/1959,jjoaquimjuanfigueiredo@mpcnet.com.br,Rua Maria das Dores,AC,60,Simone Heloisa ,Joaquim Juan Figueiredo,923,Gemeos,AB+,
111,Damas,60425-812,Fortaleza,605.621.365-09,19/12/1944,enzonelsonyuridarocha__enzonelsonyuridarocha@provale.com.br,Avenida Joao Pessoa,CE,75,Sophie Elza ,Enzo Nelson Yuri da Rocha,603,Sagitario,O-,
112,Centro,57780-970,Capela,358.388.393-41,24/02/1958,enzovicentenascimento..enzovicentenascimento@engemanltda.com.br,Rua Doutor Horacio Gomes de Melo, s/n,AL,61,Sabrina Tania Adriana ,Enzo Vicente Nascimento,422,Peixes,B-
113,Zona de Expansao (Aruana),49000-638,Aracaju,164.419.474-04,23/08/1968,renanenzogiovanniramos_@autvale.com,Rua Tres,SE,51,Luana Louise ,Renan Enzo Giovanni Ramos,679,Virgem,AB+,
114,Jardim Tamoio,13219-292,Jundiai,972.164.865-52,09/12/1996,calebecauejorgeviana_@caferibeiro.com.br,Rua Joao Paes Leme Monlevade,SP,23,Jaqueline Olivia ,Calebe Caue Jorge Viana,242,Sagitario,B+,
