id,cep,cidade,cpf,data_nasc,endereco,estado,mae,nome,tipo_sanguineo
66,77006-712,Palmas,821.284.216-91,20/09/1955,Quadra 602 Norte Rua 8 B,TO,Raimunda Vitoria Lucia ,Erick Elias Ryan Fernandes,AB-
67,71635-162,Brasilia,846.921.875-14,09/10/1999,Quadra SHIS QI 13 Bloco B,DF,Raquel Luiza Aurora ,Edson Sebastiao Nascimento,O-
68,79118-580,Campo Grande,390.371.546-89,12/11/1974,Rua Sao Tomas de Aquino,MS,Juliana Jennifer ,Severino Ruan Caleb Silva,A+
69,63100-030,Crato,081.783.955-09,10/11/1943,Rua Monsenhor Soter,CE,Vitoria Catarina Raimunda ,Anderson Gustavo Drumond,AB+
70,76801-103,Porto Velho,227.774.367-46,01/08/1985,Rua Dom Pedro II,RO,Marina Fatima ,Davi Nelson Caldeira,O+
71,81470-130,Curitiba,302.706.239-57,03/07/1980,Travessa Wilmar Sauner,PR,Aurora Luna ,Augusto Bruno da Rosa,A+
72,88810-700,Criciuma,715.718.151-71,12/08/1985,Rua Maria Regina Naspolini Dal Pont,SC,Tatiane Maria Luciana ,Samuel Roberto Tiago Alves,AB-
73,36032-006,Juiz de Fora,095.450.063-66,15/12/1965,Rua do Vale,MG,Isis Isabel Elaine ,Elias Pedro Geraldo Rezende,AB+
74,85863-690,Foz do Iguacu,048.799.101-04,25/05/1949,Rua Joao Ayres de Aguirra,PR,Beatriz Antonella Giovana ,Henrique Elias Viana,A+
75,76813-108,Porto Velho,724.394.945-26,18/12/1965,Rua Itatiaia,RO,Regina Marcia ,Marcio Otavio Kevin da Rosa,B-
76,41338-100,Salvador,584.433.850-22,21/01/1989,Caminho 12-Nucleo A,BA,Pietra Manuela Marcela ,Kaue Renato Ricardo Pinto,O-
77,85506-180,Pato Branco,948.013.865-47,24/03/1949,Rua Visconde de Guarapuava,PR,Sara Roza,Kaique Pietro Rocha,A+
78,88051-045,Florianopolis,588.760.331-30,25/10/2001,Servidao Jorge Soares de Oliveira,SC,Carla Emily Catarina ,Gael Joaquim,A-
79,29129-010,Vila Velha,606.841.002-15,25/12/1983,Rua Altair Rocha Costa,ES,Natalia Andreia Emily ,Iago David da Cunha,B-
80,72315-558,Brasilia,877.344.909-13,08/11/1966,Quadra QS 517 Conjunto H,DF,Isabelle Renata Luiza ,Tiago Luan Farias,O-
81,57040-442,Maceio,420.868.827-00,24/09/1970,7a Travessa Sao Jorge,AL,Francisca Aurora Clarice ,Manoel Julio Eduardo Silveira,B-
82,68455-662,Tucurui,697.171.589-67,27/03/1947,Rua Piaui,PA,Alicia Gabrielly ,Fabio Elias Teixeira,B-
83,78141-010,Varzea Grande,429.056.400-30,14/02/1980,Rua da Fe,MT,Allana Beatriz Jaqueline ,Fernando Leandro Vinicius Viana,A-
84,57071-545,Maceio,778.488.037-59,09/12/1994,1a Travessa Sao Luiz,AL,Luciana Vera ,Kevin Mario Gabriel Sales,O-
85,68376-735,Altamira,725.521.191-74,07/08/1948,Passagem VI,PA,Mariana Laura Isabella ,Renan Bernardo da Costa,AB-
86,69049-410,Manaus,378.472.304-70,13/06/1990,Travessa Bernaca,AM,Debora Josefa ,Benicio Julio Alves,A-
87,74593-500,Goiania,625.938.432-76,17/02/2000,Avenida dos Tapuias,GO,Nicoli Marcia Clarice ,Benedito Kaique Sales,O-
88,65043-854,Sao Luis,475.612.908-02,06/11/1981,Rua Projetada,MA,Natalia Sophia Kamilly ,Filipe Otavio Noa da Matta,AB+
89,68903-489,Macapa,823.589.295-22,22/08/1964,Ramal Eurico Gaspar,,Emanuelly Hadassa ,Rafael Noah Diego Baptista,AB-
90,27966-714,Macae,558.220.658-21,26/01/1979,Vila Brilho da Lua,,Agatha Marli ,Lorenzo Otavio Gomes,A+
91,72859-581,Luziania,408.365.694-82,25/03/1951,Quadra Quadra 65,,Aurora Vera Sophia ,Sebastiao Kaue da Costa,A-
92,29114-370,Vila Velha,802.801.516-67,26/10/1940,Rua Jose Balbino,ES,Betina Agatha ,Oliver Caue da Paz,B-
93,88372-634,Navegantes,661.445.243-63,,Rua Gerhard Schmidt,SC,Alana Lais Josefa ,Henrique Miguel Roberto da Rosa,A-
94,72329-527,Brasilia,759.345.598-00,,Quadra QS 429 Conjunto G,DF,Simone Ananda,Heitor Eduardo Goncalves,A-
95,72871-016,Valparaiso de Goias,779.234.407-00,,Rua 16,GO,Rafaela A Lavinia ,Lucca Miguel Diogo Galvao,AB-
96,49072-130,Aracaju,830.124.590-57,,Rua Comandante Poti,,Adriana Kamilly ,Roberto Giovanni Calebe Porto,B+
97,77022-440,Palmas,249.429.666-80,18/03/1950,Quadra 712 Sul Alameda 9,TO,Patricia Stefany Jennifer ,Filipe Matheus da Mota,AB+
98,57086-152,Maceio,143.975.020-30,26/07/1949,Quadra 26,AL,Alicia Livia Sonia ,Hugo Thales Aragao,AB+
99,58807-393,Sousa,546.506.467-66,24/10/1956,Rua Maria Jose Marques da Silva,PB,Fernanda Eliane ,Sergio Sebastiao Osvaldo Ribeiro,B+
100,65090-677,Sao Luis,711.467.358-20,10/12/1976,Rua Lauro Jacques,MT,Daniela Fernanda ,Pedro Henrique Calebe Yuri Figueiredo,AB-
101,75044-220,Anapolis,823.068.573-85,16/07/1977,Rua Major Ulisses Pereira da Silva,MT,Stefany Eliane ,Isaac Luiz Aparicio,AB-
102,68906-846,Macapa,040.568.439-88,06/08/1953,Rua Chopin,RN,Eloa Fatima Tania ,Breno Danilo Silva,A-
103,59014-227,Natal,461.427.999-69,04/09/1947,Rua Estevao Ribeiro de Mattos,RS,Silvana Analu Lara ,Fernando Mario Sales,AB-
104,86702-790,Arapongas,423.398.060-54,14/12/1945,Caminho E - XVI,CE,Carolina Vitoria ,Pedro Henrique Diego Fernandes,A-
105,65917-157,Imperatriz,974.659.231-90,22/02/1999,Rua Tenente Francisco Paiva,BA,Alana Valentina Antonia ,Oliver Benicio Sergio Aparicio,O+
106,23894-586,Seropedica,629.574.715-90,14/01/1950,Avenida Doralice Evangelista de Sousa,RJ,Camila Sarah ,Cesar Filipe Peixoto,AB+
107,79060-380,Campo Grande,535.871.894-04,09/04/1962,Travessa Oito,RS,Sueli Tereza ,Matheus Joao Iago Assuncao,A-
108,68506-160,Maraba,874.269.918-57,08/11/1952,Rua Cearim,TO,Larissa Milena Catarina ,Noah Caleb Pietro das Neves,A+
109,72241-555,Brasilia,840.760.458-58,06/10/1980,Rua Projetada 225,SE,Sophie Isabelly Maite ,Nicolas Henry da Costa,A+
110,13802-488,Mogi Mirim,885.968.346-72,01/02/1994,Rua Presidente Dutra,PE,Silvana Cristiane Rosa ,Kaique Heitor N,AB-
111,29130-172,Viana,341.311.535-99,22/04/1971,Rua Capitao Natanael Aguiar,GO,Alice Nair Rita ,Kaue Francisco Bernardes,B+
112,88135-079,Palhoca,233.893.997-20,26/10/1959,Rua Castanheira,RO,Clarice Bruna ,Marcos Yago Lucca Aragao,O-
113,70686-455,Brasilia,748.193.267-08,15/03/1977,Quadra EQNN 18/20 Bloco E,AM,Patricia Jennifer ,Claudio Rosa,B+
114,69304-350,Boa Vista,442.694.244-60,20/07/1951,Rua PM - 018,AM,Sophia Louise ,Bento Luan Guilherme Monteiro,O-
115,78132-360,Varzea Grande,563.337.623-42,14/07/1991,Rua Sao Miguel,PI,Barbara Yasmin ,Gustavo Iago Levi Galvao,AB+
116,88810-336,Criciuma,466.803.635-86,07/09/1988,Rua Otavio Rola,MS,Cecilia Sophie ,Eduardo Nelson Melo,A-
117,60874-405,Fortaleza,893.426.079-34,27/07/1940,Avenida 203,ES,Teresinha Vera Elisa ,Pietro Guilherme Moreira,O-
118,79106-140,Campo Grande,728.882.048-35,10/10/1984,Avenida Doutor Eneas Carvalho de Aguiar 255,RR,Luciana Laura Juliana ,Gabriel Erick Oliver da Luz,AB+
119,63030-450,Juazeiro do Norte,869.696.945-69,05/01/1973,Beco Sao Pedro II,MA,Louise Sarah Tereza ,Luan Caue Anthony da Mota,B+
120,84172-370,Castro,872.870.813-00,12/09/1996,3a Travessa Osvaldo Neves,MA,Sophia Rafaela Silvana ,Enzo Diego Rocha,O+
121,54360-159,Jaboatao dos Guararapes,155.699.916-03,21/06/1963,Rua Professora Laura Rosa,PA,Liz Nicole ,Cesar Matheus Caue Rodrigues,AB+
122,37902-013,Passos,735.339.007-70,09/02/1947,Rua Jacarepagua,AC,Simone Heloisa ,Caua Isaac Castro,A-
123,57072-276,Maceio,455.643.269-38,25/05/1988,Quadra EQNP 30/34 Bloco C,CE,Sophie Elza ,Gabriel Caua Marcos Vinicius Caldeira,O+
124,60767-645,Fortaleza,180.830.510-80,16/02/1941,Quadra QNP 20 Conjunto H,AL,Sabrina Tania Adriana ,Danilo Severino da Cruz,AB+
125,59616-380,Mossoro,473.096.540-05,09/07/1980,Rua Argeo de Carvalho,SE,Luana Louise ,Samuel Noah Lopes,O-
126,69316-322,Boa Vista,985.904.206-39,24/12/1958,Rua 6,SP,Jaqueline Olivia ,Juan Raimundo Osvaldo Cardoso,A-
127,72275-322,Brasilia,517.088.375-74,10/03/2001,Travessa Porto Alegre,SP,Ana Ayla ,Leandro Cesar Jorge Drumond,AB+
128,64218-415,Parnaiba,488.380.897-10,24/06/1991,Rua Lirio,SE,Eloa Jessica Stefany ,Caio Julio Kaue Lima,AB+
129,61637-973,Caucaia,169.848.860-23,08/09/1943,Rua 23,AL,Cecilia Joana ,Guilherme Rafael Kevin Monteiro,AB+
130,24802-120,Itaborai,318.470.004-60,08/04/1966,Rua Sao Sebastiao,AP,Evelyn Isis ,Nicolas Edson Araujo,AB-
131,36771-412,Cataguases,939.097.065-25,24/07/1987,Rua Tenente Neves,PI,Eliane Antonia Cecilia ,Cesar Nelson Daniel Brito,AB-
132,83402-215,Colombo,998.958.182-70,17/07/1955,Rua Belem,DF,Fatima Isabela Regina ,Rodrigo Erick Roberto Freitas,O-
133,26020-115,Nova Iguacu,348.748.050-60,11/09/1954,Rua Dezoito,SP,Maya Sara Isabela ,Enrico Arthur Kaue da Cunha,AB-
134,96020-130,Pelotas,066.796.721-47,20/03/1961,Avenida Maria Cavalcante de Azevedo Picanco,BA,Emily Jessica ,Martin Benjamin Jesus,B+
135,49044-010,Aracaju,213.005.833-71,21/10/1939,Quadra 303 Sul Alameda 10,GO,Rosa Ayla Alicia ,Marcos Raimundo Rocha,AB-
136,79900-636,Ponta Pora,758.219.979-09,07/02/1998,Rua Matias Vasconcelos da Costa,PR,Vitoria Antonella ,Hugo Marcio Igor Silva,B-
137,77062-164,Palmas,858.666.733-12,23/03/1983,Rua Lobo da Costa,SP,Rita Louise ,Vinicius Kaue Nascimento,A+
138,49055-610,Aracaju,046.391.337-07,03/05/1954,Rua Jose Alves Pontes,AP,Regina Gabriela Analu ,Heitor Leonardo Calebe Ferreira,O-
139,45002-048,Vitoria da Conquista,869.696.945-69,17/12/1988,Rua Virgilio Ferreira,AC,Rayssa Benedita Manuela ,Gael Tomas Thiago Campos,A+
140,88353-509,Brusque,872.870.813-00,11/08/1969,Rua Emiliano Perneta,PE,Yasmin Renata ,Tomas Caua Martins,AB+
141,77413-785,Gurupi,145.891.596-43,10/02/1967,Rua 6A,PI,Hadassa Maya Elza ,Leonardo Fabio de Paula,O-
142,59600-200,Mossoro,631.466.800-09,11/01/1955,Avenida Rouxinol,CE,Cristiane Manuela ,Roberto Heitor Farias,B-
143,79645-200,Tres Lagoas,159.568.299-66,07/03/1977,Rua Projetada Um,PE,Livia Sandra Sueli ,Francisco Jorge Raimundo Freitas,A-
